Near Surface Air Temperature,Precipitation,Alert
285.978125|285.76575|286.56375|284.867125|286.035|285.779375|285.098375,1495.531438|462.6328125|274.7471208|339.4123042|10.8919375|164.1236229|34.4181375,0
285.76575|286.56375|284.867125|286.035|285.779375|285.098375|287.16825,462.6328125|274.7471208|339.4123042|10.8919375|164.1236229|34.4181375|0,0
286.56375|284.867125|286.035|285.779375|285.098375|287.16825|289.1395,274.7471208|339.4123042|10.8919375|164.1236229|34.4181375|0|2116.803229,0
284.867125|286.035|285.779375|285.098375|287.16825|289.1395|291.39475,339.4123042|10.8919375|164.1236229|34.4181375|0|2116.803229|0,0
286.035|285.779375|285.098375|287.16825|289.1395|291.39475|292.5915,10.8919375|164.1236229|34.4181375|0|2116.803229|0|0,0
285.779375|285.098375|287.16825|289.1395|291.39475|292.5915|292.647,164.1236229|34.4181375|0|2116.803229|0|0|52.69104167,0
285.098375|287.16825|289.1395|291.39475|292.5915|292.647|293.051125,34.4181375|0|2116.803229|0|0|52.69104167|134.9810417,0
287.16825|289.1395|291.39475|292.5915|292.647|293.051125|293.966625,0|2116.803229|0|0|52.69104167|134.9810417|214.9426731,0
289.1395|291.39475|292.5915|292.647|293.051125|293.966625|294.126875,2116.803229|0|0|52.69104167|134.9810417|214.9426731|42.01581417,0
291.39475|292.5915|292.647|293.051125|293.966625|294.126875|291.34375,0|0|52.69104167|134.9810417|214.9426731|42.01581417|897.054375,0
292.5915|292.647|293.051125|293.966625|294.126875|291.34375|292.165125,0|52.69104167|134.9810417|214.9426731|42.01581417|897.054375|389.8858956,0
292.647|293.051125|293.966625|294.126875|291.34375|292.165125|290.7925,52.69104167|134.9810417|214.9426731|42.01581417|897.054375|389.8858956|316.4978904,0
293.051125|293.966625|294.126875|291.34375|292.165125|290.7925|289.064625,134.9810417|214.9426731|42.01581417|897.054375|389.8858956|316.4978904|3.2235,0
293.966625|294.126875|291.34375|292.165125|290.7925|289.064625|289.295625,214.9426731|42.01581417|897.054375|389.8858956|316.4978904|3.2235|0,0
294.126875|291.34375|292.165125|290.7925|289.064625|289.295625|288.99825,42.01581417|897.054375|389.8858956|316.4978904|3.2235|0|0,0
291.34375|292.165125|290.7925|289.064625|289.295625|288.99825|289.94225,897.054375|389.8858956|316.4978904|3.2235|0|0|0,0
292.165125|290.7925|289.064625|289.295625|288.99825|289.94225|292.668375,389.8858956|316.4978904|3.2235|0|0|0|0,0
290.7925|289.064625|289.295625|288.99825|289.94225|292.668375|291.583625,316.4978904|3.2235|0|0|0|0|0,0
289.064625|289.295625|288.99825|289.94225|292.668375|291.583625|292.307,3.2235|0|0|0|0|0|0,0
289.295625|288.99825|289.94225|292.668375|291.583625|292.307|290.962875,0|0|0|0|0|0|0,0
288.99825|289.94225|292.668375|291.583625|292.307|290.962875|290.759,0|0|0|0|0|0|0,0
289.94225|292.668375|291.583625|292.307|290.962875|290.759|290.718625,0|0|0|0|0|0|0,0
292.668375|291.583625|292.307|290.962875|290.759|290.718625|291.867375,0|0|0|0|0|0|0,0
291.583625|292.307|290.962875|290.759|290.718625|291.867375|294.06225,0|0|0|0|0|0|0,0
292.307|290.962875|290.759|290.718625|291.867375|294.06225|295.372125,0|0|0|0|0|0|0,0
290.962875|290.759|290.718625|291.867375|294.06225|295.372125|296.19675,0|0|0|0|0|0|0,0
290.759|290.718625|291.867375|294.06225|295.372125|296.19675|297.242375,0|0|0|0|0|0|0,0
290.718625|291.867375|294.06225|295.372125|296.19675|297.242375|297.6095,0|0|0|0|0|0|0,0
291.867375|294.06225|295.372125|296.19675|297.242375|297.6095|296.921375,0|0|0|0|0|0|0,0
294.06225|295.372125|296.19675|297.242375|297.6095|296.921375|290.29325,0|0|0|0|0|0|0,0
295.372125|296.19675|297.242375|297.6095|296.921375|290.29325|287.3535,0|0|0|0|0|0|0,0
296.19675|297.242375|297.6095|296.921375|290.29325|287.3535|289.15925,0|0|0|0|0|0|0,0
297.242375|297.6095|296.921375|290.29325|287.3535|289.15925|291.485875,0|0|0|0|0|0|0,0
297.6095|296.921375|290.29325|287.3535|289.15925|291.485875|291.134,0|0|0|0|0|0|0,0
296.921375|290.29325|287.3535|289.15925|291.485875|291.134|293.54325,0|0|0|0|0|0|0,0
290.29325|287.3535|289.15925|291.485875|291.134|293.54325|294.44275,0|0|0|0|0|0|0,0
287.3535|289.15925|291.485875|291.134|293.54325|294.44275|294.423875,0|0|0|0|0|0|12.237375,0
289.15925|291.485875|291.134|293.54325|294.44275|294.423875|294.08575,0|0|0|0|0|12.237375|0,0
291.485875|291.134|293.54325|294.44275|294.423875|294.08575|295.089375,0|0|0|0|12.237375|0|0,0
291.134|293.54325|294.44275|294.423875|294.08575|295.089375|295.9745,0|0|0|12.237375|0|0|0,0
293.54325|294.44275|294.423875|294.08575|295.089375|295.9745|296.8925,0|0|12.237375|0|0|0|0,0
294.44275|294.423875|294.08575|295.089375|295.9745|296.8925|297.99375,0|12.237375|0|0|0|0|2012.819792,0
294.423875|294.08575|295.089375|295.9745|296.8925|297.99375|298.361,12.237375|0|0|0|0|2012.819792|570.4979167,0
294.08575|295.089375|295.9745|296.8925|297.99375|298.361|298.812125,0|0|0|0|2012.819792|570.4979167|17.91997917,0
295.089375|295.9745|296.8925|297.99375|298.361|298.812125|297.8795,0|0|0|2012.819792|570.4979167|17.91997917|585.5073333,0
295.9745|296.8925|297.99375|298.361|298.812125|297.8795|297.0435,0|0|2012.819792|570.4979167|17.91997917|585.5073333|333.2386675,0
296.8925|297.99375|298.361|298.812125|297.8795|297.0435|297.047125,0|2012.819792|570.4979167|17.91997917|585.5073333|333.2386675|32.61548958,1
297.99375|298.361|298.812125|297.8795|297.0435|297.047125|294.780375,2012.819792|570.4979167|17.91997917|585.5073333|333.2386675|32.61548958|0,0
298.361|298.812125|297.8795|297.0435|297.047125|294.780375|295.191125,570.4979167|17.91997917|585.5073333|333.2386675|32.61548958|0|0,0
298.812125|297.8795|297.0435|297.047125|294.780375|295.191125|295.1385,17.91997917|585.5073333|333.2386675|32.61548958|0|0|0,0
297.8795|297.0435|297.047125|294.780375|295.191125|295.1385|295.198125,585.5073333|333.2386675|32.61548958|0|0|0|1067.641146,0
297.0435|297.047125|294.780375|295.191125|295.1385|295.198125|296.628875,333.2386675|32.61548958|0|0|0|1067.641146|385.96058,0
297.047125|294.780375|295.191125|295.1385|295.198125|296.628875|297.421,32.61548958|0|0|0|1067.641146|385.96058|368.9970833,0
294.780375|295.191125|295.1385|295.198125|296.628875|297.421|297.1015,0|0|0|1067.641146|385.96058|368.9970833|200.4945013,0
295.191125|295.1385|295.198125|296.628875|297.421|297.1015|295.192625,0|0|1067.641146|385.96058|368.9970833|200.4945013|60927.52053,0
295.1385|295.198125|296.628875|297.421|297.1015|295.192625|295.438375,0|1067.641146|385.96058|368.9970833|200.4945013|60927.52053|13651.96381,0
295.198125|296.628875|297.421|297.1015|295.192625|295.438375|295.986875,1067.641146|385.96058|368.9970833|200.4945013|60927.52053|13651.96381|1025.680565,0
296.628875|297.421|297.1015|295.192625|295.438375|295.986875|298.012625,385.96058|368.9970833|200.4945013|60927.52053|13651.96381|1025.680565|219.5656875,0
297.421|297.1015|295.192625|295.438375|295.986875|298.012625|299.56575,368.9970833|200.4945013|60927.52053|13651.96381|1025.680565|219.5656875|1713.220833,0
297.1015|295.192625|295.438375|295.986875|298.012625|299.56575|299.4065,200.4945013|60927.52053|13651.96381|1025.680565|219.5656875|1713.220833|0,0
295.192625|295.438375|295.986875|298.012625|299.56575|299.4065|296.657,60927.52053|13651.96381|1025.680565|219.5656875|1713.220833|0|0,0
295.438375|295.986875|298.012625|299.56575|299.4065|296.657|297.74375,13651.96381|1025.680565|219.5656875|1713.220833|0|0|0,0
295.986875|298.012625|299.56575|299.4065|296.657|297.74375|299.094625,1025.680565|219.5656875|1713.220833|0|0|0|0,0
298.012625|299.56575|299.4065|296.657|297.74375|299.094625|300.337875,219.5656875|1713.220833|0|0|0|0|0,0
299.56575|299.4065|296.657|297.74375|299.094625|300.337875|300.914625,1713.220833|0|0|0|0|0|0,0
299.4065|296.657|297.74375|299.094625|300.337875|300.914625|300.74,0|0|0|0|0|0|0,0
296.657|297.74375|299.094625|300.337875|300.914625|300.74|300.702125,0|0|0|0|0|0|2044.232229,0
297.74375|299.094625|300.337875|300.914625|300.74|300.702125|302.105375,0|0|0|0|0|2044.232229|10.71282708,0
299.094625|300.337875|300.914625|300.74|300.702125|302.105375|302.475125,0|0|0|0|2044.232229|10.71282708|0,0
300.337875|300.914625|300.74|300.702125|302.105375|302.475125|302.7445,0|0|0|2044.232229|10.71282708|0|0,0
300.914625|300.74|300.702125|302.105375|302.475125|302.7445|302.85575,0|0|2044.232229|10.71282708|0|0|0,0
300.74|300.702125|302.105375|302.475125|302.7445|302.85575|302.148125,0|2044.232229|10.71282708|0|0|0|0,0
300.702125|302.105375|302.475125|302.7445|302.85575|302.148125|301.823125,2044.232229|10.71282708|0|0|0|0|3240.13875,0
302.105375|302.475125|302.7445|302.85575|302.148125|301.823125|298.646625,10.71282708|0|0|0|0|3240.13875|410.3884483,0
302.475125|302.7445|302.85575|302.148125|301.823125|298.646625|298.274125,0|0|0|0|3240.13875|410.3884483|3802.389975,0
302.7445|302.85575|302.148125|301.823125|298.646625|298.274125|299.26025,0|0|0|3240.13875|410.3884483|3802.389975|50300047.27,0
302.85575|302.148125|301.823125|298.646625|298.274125|299.26025|299.32825,0|0|3240.13875|410.3884483|3802.389975|50300047.27|0,0
302.148125|301.823125|298.646625|298.274125|299.26025|299.32825|299.627,0|3240.13875|410.3884483|3802.389975|50300047.27|0|0,0
301.823125|298.646625|298.274125|299.26025|299.32825|299.627|298.659375,3240.13875|410.3884483|3802.389975|50300047.27|0|0|0,0
298.646625|298.274125|299.26025|299.32825|299.627|298.659375|298.648125,410.3884483|3802.389975|50300047.27|0|0|0|1176.808333,0
298.274125|299.26025|299.32825|299.627|298.659375|298.648125|295.47975,3802.389975|50300047.27|0|0|0|1176.808333|1101.011542,0
299.26025|299.32825|299.627|298.659375|298.648125|295.47975|298.212875,50300047.27|0|0|0|1176.808333|1101.011542|116.9452125,0
299.32825|299.627|298.659375|298.648125|295.47975|298.212875|298.397,0|0|0|1176.808333|1101.011542|116.9452125|0,0
299.627|298.659375|298.648125|295.47975|298.212875|298.397|299.291375,0|0|1176.808333|1101.011542|116.9452125|0|1399.485417,0
298.659375|298.648125|295.47975|298.212875|298.397|299.291375|302.073125,0|1176.808333|1101.011542|116.9452125|0|1399.485417|0,0
298.648125|295.47975|298.212875|298.397|299.291375|302.073125|302.654,1176.808333|1101.011542|116.9452125|0|1399.485417|0|0,0
295.47975|298.212875|298.397|299.291375|302.073125|302.654|302.937,1101.011542|116.9452125|0|1399.485417|0|0|0,0
298.212875|298.397|299.291375|302.073125|302.654|302.937|297.802,116.9452125|0|1399.485417|0|0|0|0,0
298.397|299.291375|302.073125|302.654|302.937|297.802|305.17725,0|1399.485417|0|0|0|0|0,0
299.291375|302.073125|302.654|302.937|297.802|305.17725|304.8665,1399.485417|0|0|0|0|0|0,0
302.073125|302.654|302.937|297.802|305.17725|304.8665|303.7425,0|0|0|0|0|0|0,0
302.654|302.937|297.802|305.17725|304.8665|303.7425|303.077125,0|0|0|0|0|0|0,0
302.937|297.802|305.17725|304.8665|303.7425|303.077125|302.482125,0|0|0|0|0|0|8.551458333,0
297.802|305.17725|304.8665|303.7425|303.077125|302.482125|301.811625,0|0|0|0|0|8.551458333|303.8496458,0
305.17725|304.8665|303.7425|303.077125|302.482125|301.811625|297.919875,0|0|0|0|8.551458333|303.8496458|2162.644415,0
304.8665|303.7425|303.077125|302.482125|301.811625|297.919875|299.78075,0|0|0|8.551458333|303.8496458|2162.644415|0,0
303.7425|303.077125|302.482125|301.811625|297.919875|299.78075|298.3935,0|0|8.551458333|303.8496458|2162.644415|0|2088.846767,0
303.077125|302.482125|301.811625|297.919875|299.78075|298.3935|299.5885,0|8.551458333|303.8496458|2162.644415|0|2088.846767|1508.058333,0
302.482125|301.811625|297.919875|299.78075|298.3935|299.5885|301.891125,8.551458333|303.8496458|2162.644415|0|2088.846767|1508.058333|0,0
301.811625|297.919875|299.78075|298.3935|299.5885|301.891125|303.515,303.8496458|2162.644415|0|2088.846767|1508.058333|0|0,0
297.919875|299.78075|298.3935|299.5885|301.891125|303.515|304.448875,2162.644415|0|2088.846767|1508.058333|0|0|0,0
299.78075|298.3935|299.5885|301.891125|303.515|304.448875|304.133375,0|2088.846767|1508.058333|0|0|0|0,0
298.3935|299.5885|301.891125|303.515|304.448875|304.133375|304.195625,2088.846767|1508.058333|0|0|0|0|245662.0834,0
299.5885|301.891125|303.515|304.448875|304.133375|304.195625|304.558625,1508.058333|0|0|0|0|245662.0834|0,0
301.891125|303.515|304.448875|304.133375|304.195625|304.558625|305.075625,0|0|0|0|245662.0834|0|23.29175208,0
303.515|304.448875|304.133375|304.195625|304.558625|305.075625|305.39325,0|0|0|245662.0834|0|23.29175208|0,0
304.448875|304.133375|304.195625|304.558625|305.075625|305.39325|306.51375,0|0|245662.0834|0|23.29175208|0|0,0
304.133375|304.195625|304.558625|305.075625|305.39325|306.51375|306.576625,0|245662.0834|0|23.29175208|0|0|19999.62054,0
304.195625|304.558625|305.075625|305.39325|306.51375|306.576625|306.649375,245662.0834|0|23.29175208|0|0|19999.62054|1682627.963,0
304.558625|305.075625|305.39325|306.51375|306.576625|306.649375|306.532375,0|23.29175208|0|0|19999.62054|1682627.963|0,0
305.075625|305.39325|306.51375|306.576625|306.649375|306.532375|305.646875,23.29175208|0|0|19999.62054|1682627.963|0|850.0534917,0
305.39325|306.51375|306.576625|306.649375|306.532375|305.646875|305.916875,0|0|19999.62054|1682627.963|0|850.0534917|2803.618092,0
306.51375|306.576625|306.649375|306.532375|305.646875|305.916875|302.50025,0|19999.62054|1682627.963|0|850.0534917|2803.618092|1756.993988,0
306.576625|306.649375|306.532375|305.646875|305.916875|302.50025|304.153,19999.62054|1682627.963|0|850.0534917|2803.618092|1756.993988|17793.16833,0
306.649375|306.532375|305.646875|305.916875|302.50025|304.153|304.5225,1682627.963|0|850.0534917|2803.618092|1756.993988|17793.16833|0,0
306.532375|305.646875|305.916875|302.50025|304.153|304.5225|304.43225,0|850.0534917|2803.618092|1756.993988|17793.16833|0|318.8387679,0
305.646875|305.916875|302.50025|304.153|304.5225|304.43225|303.3635,850.0534917|2803.618092|1756.993988|17793.16833|0|318.8387679|58.87070833,0
305.916875|302.50025|304.153|304.5225|304.43225|303.3635|303.649125,2803.618092|1756.993988|17793.16833|0|318.8387679|58.87070833|1051.015417,0
302.50025|304.153|304.5225|304.43225|303.3635|303.649125|302.442875,1756.993988|17793.16833|0|318.8387679|58.87070833|1051.015417|87.96152083,0
304.153|304.5225|304.43225|303.3635|303.649125|302.442875|302.28225,17793.16833|0|318.8387679|58.87070833|1051.015417|87.96152083|45614783.32,0
304.5225|304.43225|303.3635|303.649125|302.442875|302.28225|302.92875,0|318.8387679|58.87070833|1051.015417|87.96152083|45614783.32|1703.28164,0
304.43225|303.3635|303.649125|302.442875|302.28225|302.92875|303.14575,318.8387679|58.87070833|1051.015417|87.96152083|45614783.32|1703.28164|298.6604817,0
303.3635|303.649125|302.442875|302.28225|302.92875|303.14575|304.0775,58.87070833|1051.015417|87.96152083|45614783.32|1703.28164|298.6604817|0,0
303.649125|302.442875|302.28225|302.92875|303.14575|304.0775|305.683125,1051.015417|87.96152083|45614783.32|1703.28164|298.6604817|0|22.23671667,0
302.442875|302.28225|302.92875|303.14575|304.0775|305.683125|305.903625,87.96152083|45614783.32|1703.28164|298.6604817|0|22.23671667|294.5483521,0
302.28225|302.92875|303.14575|304.0775|305.683125|305.903625|304.01225,45614783.32|1703.28164|298.6604817|0|22.23671667|294.5483521|117.081406,0
302.92875|303.14575|304.0775|305.683125|305.903625|304.01225|303.72925,1703.28164|298.6604817|0|22.23671667|294.5483521|117.081406|49.39091042,0
303.14575|304.0775|305.683125|305.903625|304.01225|303.72925|303.459375,298.6604817|0|22.23671667|294.5483521|117.081406|49.39091042|35.15517167,0
304.0775|305.683125|305.903625|304.01225|303.72925|303.459375|303.88775,0|22.23671667|294.5483521|117.081406|49.39091042|35.15517167|14558.22704,0
305.683125|305.903625|304.01225|303.72925|303.459375|303.88775|303.1265,22.23671667|294.5483521|117.081406|49.39091042|35.15517167|14558.22704|200.4294696,0
305.903625|304.01225|303.72925|303.459375|303.88775|303.1265|303.5685,294.5483521|117.081406|49.39091042|35.15517167|14558.22704|200.4294696|56.52152083,0
304.01225|303.72925|303.459375|303.88775|303.1265|303.5685|303.68875,117.081406|49.39091042|35.15517167|14558.22704|200.4294696|56.52152083|12.81010625,0
303.72925|303.459375|303.88775|303.1265|303.5685|303.68875|304.216375,49.39091042|35.15517167|14558.22704|200.4294696|56.52152083|12.81010625|63.85191667,0
303.459375|303.88775|303.1265|303.5685|303.68875|304.216375|304.932625,35.15517167|14558.22704|200.4294696|56.52152083|12.81010625|63.85191667|38.00777917,0
303.88775|303.1265|303.5685|303.68875|304.216375|304.932625|304.27,14558.22704|200.4294696|56.52152083|12.81010625|63.85191667|38.00777917|82.55615208,0
303.1265|303.5685|303.68875|304.216375|304.932625|304.27|305.143125,200.4294696|56.52152083|12.81010625|63.85191667|38.00777917|82.55615208|0,0
303.5685|303.68875|304.216375|304.932625|304.27|305.143125|304.68525,56.52152083|12.81010625|63.85191667|38.00777917|82.55615208|0|194.904375,0
303.68875|304.216375|304.932625|304.27|305.143125|304.68525|304.590625,12.81010625|63.85191667|38.00777917|82.55615208|0|194.904375|50.09283333,0
304.216375|304.932625|304.27|305.143125|304.68525|304.590625|304.734625,63.85191667|38.00777917|82.55615208|0|194.904375|50.09283333|0,0
304.932625|304.27|305.143125|304.68525|304.590625|304.734625|306.20375,38.00777917|82.55615208|0|194.904375|50.09283333|0|388.1541875,0
304.27|305.143125|304.68525|304.590625|304.734625|306.20375|306.0745,82.55615208|0|194.904375|50.09283333|0|388.1541875|46.177475,0
305.143125|304.68525|304.590625|304.734625|306.20375|306.0745|303.654125,0|194.904375|50.09283333|0|388.1541875|46.177475|345.7673919,0
304.68525|304.590625|304.734625|306.20375|306.0745|303.654125|303.161625,194.904375|50.09283333|0|388.1541875|46.177475|345.7673919|54.93078958,0
304.590625|304.734625|306.20375|306.0745|303.654125|303.161625|303.815,50.09283333|0|388.1541875|46.177475|345.7673919|54.93078958|49.05049833,0
304.734625|306.20375|306.0745|303.654125|303.161625|303.815|303.73775,0|388.1541875|46.177475|345.7673919|54.93078958|49.05049833|2223.515396,0
306.20375|306.0745|303.654125|303.161625|303.815|303.73775|303.862625,388.1541875|46.177475|345.7673919|54.93078958|49.05049833|2223.515396|7123.419883,0
306.0745|303.654125|303.161625|303.815|303.73775|303.862625|303.27625,46.177475|345.7673919|54.93078958|49.05049833|2223.515396|7123.419883|172.8983685,0
303.654125|303.161625|303.815|303.73775|303.862625|303.27625|304.668,345.7673919|54.93078958|49.05049833|2223.515396|7123.419883|172.8983685|244.7002083,0
303.161625|303.815|303.73775|303.862625|303.27625|304.668|305.06025,54.93078958|49.05049833|2223.515396|7123.419883|172.8983685|244.7002083|0,0
303.815|303.73775|303.862625|303.27625|304.668|305.06025|305.813375,49.05049833|2223.515396|7123.419883|172.8983685|244.7002083|0|259.7846667,0
303.73775|303.862625|303.27625|304.668|305.06025|305.813375|304.343625,2223.515396|7123.419883|172.8983685|244.7002083|0|259.7846667|0.47984375,0
303.862625|303.27625|304.668|305.06025|305.813375|304.343625|304.021875,7123.419883|172.8983685|244.7002083|0|259.7846667|0.47984375|14.42606875,0
303.27625|304.668|305.06025|305.813375|304.343625|304.021875|300.183375,172.8983685|244.7002083|0|259.7846667|0.47984375|14.42606875|254.9946375,0
304.668|305.06025|305.813375|304.343625|304.021875|300.183375|300.461125,244.7002083|0|259.7846667|0.47984375|14.42606875|254.9946375|0,0
305.06025|305.813375|304.343625|304.021875|300.183375|300.461125|301.6755,0|259.7846667|0.47984375|14.42606875|254.9946375|0|272.032524,0
305.813375|304.343625|304.021875|300.183375|300.461125|301.6755|302.445125,259.7846667|0.47984375|14.42606875|254.9946375|0|272.032524|0,0
304.343625|304.021875|300.183375|300.461125|301.6755|302.445125|302.69475,0.47984375|14.42606875|254.9946375|0|272.032524|0|5.046797917,0
304.021875|300.183375|300.461125|301.6755|302.445125|302.69475|303.108875,14.42606875|254.9946375|0|272.032524|0|5.046797917|21.14785417,0
300.183375|300.461125|301.6755|302.445125|302.69475|303.108875|303.867625,254.9946375|0|272.032524|0|5.046797917|21.14785417|0,0
300.461125|301.6755|302.445125|302.69475|303.108875|303.867625|304.641125,0|272.032524|0|5.046797917|21.14785417|0|6.376841667,0
301.6755|302.445125|302.69475|303.108875|303.867625|304.641125|303.219625,272.032524|0|5.046797917|21.14785417|0|6.376841667|242.7175646,0
302.445125|302.69475|303.108875|303.867625|304.641125|303.219625|302.44275,0|5.046797917|21.14785417|0|6.376841667|242.7175646|0,0
302.69475|303.108875|303.867625|304.641125|303.219625|302.44275|302.678625,5.046797917|21.14785417|0|6.376841667|242.7175646|0|0,0
303.108875|303.867625|304.641125|303.219625|302.44275|302.678625|302.791625,21.14785417|0|6.376841667|242.7175646|0|0|171.9018042,0
303.867625|304.641125|303.219625|302.44275|302.678625|302.791625|302.734125,0|6.376841667|242.7175646|0|0|171.9018042|10.9385625,0
304.641125|303.219625|302.44275|302.678625|302.791625|302.734125|303.00025,6.376841667|242.7175646|0|0|171.9018042|10.9385625|0,0
303.219625|302.44275|302.678625|302.791625|302.734125|303.00025|303.228125,242.7175646|0|0|171.9018042|10.9385625|0|0,0
302.44275|302.678625|302.791625|302.734125|303.00025|303.228125|302.743,0|0|171.9018042|10.9385625|0|0|0,0
302.678625|302.791625|302.734125|303.00025|303.228125|302.743|302.814125,0|171.9018042|10.9385625|0|0|0|0,0
302.791625|302.734125|303.00025|303.228125|302.743|302.814125|301.996875,171.9018042|10.9385625|0|0|0|0|0,0
302.734125|303.00025|303.228125|302.743|302.814125|301.996875|302.376125,10.9385625|0|0|0|0|0|0,0
303.00025|303.228125|302.743|302.814125|301.996875|302.376125|302.241125,0|0|0|0|0|0|172.5621979,0
303.228125|302.743|302.814125|301.996875|302.376125|302.241125|301.368625,0|0|0|0|0|172.5621979|0,0
302.743|302.814125|301.996875|302.376125|302.241125|301.368625|300.44725,0|0|0|0|172.5621979|0|0,0
302.814125|301.996875|302.376125|302.241125|301.368625|300.44725|300.3975,0|0|0|172.5621979|0|0|0,0
301.996875|302.376125|302.241125|301.368625|300.44725|300.3975|301.183375,0|0|172.5621979|0|0|0|0,0
302.376125|302.241125|301.368625|300.44725|300.3975|301.183375|302.638125,0|172.5621979|0|0|0|0|0,0
302.241125|301.368625|300.44725|300.3975|301.183375|302.638125|302.421,172.5621979|0|0|0|0|0|0,0
301.368625|300.44725|300.3975|301.183375|302.638125|302.421|302.995,0|0|0|0|0|0|200.4672104,0
300.44725|300.3975|301.183375|302.638125|302.421|302.995|303.592625,0|0|0|0|0|200.4672104|0,0
300.3975|301.183375|302.638125|302.421|302.995|303.592625|303.596375,0|0|0|0|200.4672104|0|0,0
301.183375|302.638125|302.421|302.995|303.592625|303.596375|303.804875,0|0|0|200.4672104|0|0|0,0
302.638125|302.421|302.995|303.592625|303.596375|303.804875|303.5845,0|0|200.4672104|0|0|0|234.2970737,0
302.421|302.995|303.592625|303.596375|303.804875|303.5845|301.158125,0|200.4672104|0|0|0|234.2970737|461.1935688,0
302.995|303.592625|303.596375|303.804875|303.5845|301.158125|300.12925,200.4672104|0|0|0|234.2970737|461.1935688|909.4051292,0
303.592625|303.596375|303.804875|303.5845|301.158125|300.12925|299.727625,0|0|0|234.2970737|461.1935688|909.4051292|520.8023879,0
303.596375|303.804875|303.5845|301.158125|300.12925|299.727625|299.926375,0|0|234.2970737|461.1935688|909.4051292|520.8023879|74.87384583,0
303.804875|303.5845|301.158125|300.12925|299.727625|299.926375|300.214625,0|234.2970737|461.1935688|909.4051292|520.8023879|74.87384583|60.21888125,0
303.5845|301.158125|300.12925|299.727625|299.926375|300.214625|300.229875,234.2970737|461.1935688|909.4051292|520.8023879|74.87384583|60.21888125|3.1804,0
301.158125|300.12925|299.727625|299.926375|300.214625|300.229875|299.016875,461.1935688|909.4051292|520.8023879|74.87384583|60.21888125|3.1804|0,0
300.12925|299.727625|299.926375|300.214625|300.229875|299.016875|298.8885,909.4051292|520.8023879|74.87384583|60.21888125|3.1804|0|0,0
299.727625|299.926375|300.214625|300.229875|299.016875|298.8885|300.051625,520.8023879|74.87384583|60.21888125|3.1804|0|0|0,0
299.926375|300.214625|300.229875|299.016875|298.8885|300.051625|300.260375,74.87384583|60.21888125|3.1804|0|0|0|0,0
300.214625|300.229875|299.016875|298.8885|300.051625|300.260375|299.91125,60.21888125|3.1804|0|0|0|0|0,0
300.229875|299.016875|298.8885|300.051625|300.260375|299.91125|299.369,3.1804|0|0|0|0|0|0,0
299.016875|298.8885|300.051625|300.260375|299.91125|299.369|300.642625,0|0|0|0|0|0|0,0
298.8885|300.051625|300.260375|299.91125|299.369|300.642625|301.02275,0|0|0|0|0|0|0,0
300.051625|300.260375|299.91125|299.369|300.642625|301.02275|300.395375,0|0|0|0|0|0|0,0
300.260375|299.91125|299.369|300.642625|301.02275|300.395375|299.46425,0|0|0|0|0|0|0,0
299.91125|299.369|300.642625|301.02275|300.395375|299.46425|299.3885,0|0|0|0|0|0|0,0
299.369|300.642625|301.02275|300.395375|299.46425|299.3885|298.956875,0|0|0|0|0|0|0,0
300.642625|301.02275|300.395375|299.46425|299.3885|298.956875|298.431125,0|0|0|0|0|0|0,0
301.02275|300.395375|299.46425|299.3885|298.956875|298.431125|298.215375,0|0|0|0|0|0|0,0
300.395375|299.46425|299.3885|298.956875|298.431125|298.215375|298.035625,0|0|0|0|0|0|0,0
299.46425|299.3885|298.956875|298.431125|298.215375|298.035625|297.6155,0|0|0|0|0|0|0,0
299.3885|298.956875|298.431125|298.215375|298.035625|297.6155|297.753625,0|0|0|0|0|0|0,0
298.956875|298.431125|298.215375|298.035625|297.6155|297.753625|297.71225,0|0|0|0|0|0|0,0
298.431125|298.215375|298.035625|297.6155|297.753625|297.71225|298.007375,0|0|0|0|0|0|0,0
298.215375|298.035625|297.6155|297.753625|297.71225|298.007375|297.165125,0|0|0|0|0|0|0,0
298.035625|297.6155|297.753625|297.71225|298.007375|297.165125|296.9055,0|0|0|0|0|0|0,0
297.6155|297.753625|297.71225|298.007375|297.165125|296.9055|296.883,0|0|0|0|0|0|0,0
297.753625|297.71225|298.007375|297.165125|296.9055|296.883|297.045125,0|0|0|0|0|0|0,0
297.71225|298.007375|297.165125|296.9055|296.883|297.045125|297.210125,0|0|0|0|0|0|0,0
298.007375|297.165125|296.9055|296.883|297.045125|297.210125|297.65075,0|0|0|0|0|0|66.4101875,0
297.165125|296.9055|296.883|297.045125|297.210125|297.65075|296.987125,0|0|0|0|0|66.4101875|0,0
296.9055|296.883|297.045125|297.210125|297.65075|296.987125|297.193375,0|0|0|0|66.4101875|0|0,0
296.883|297.045125|297.210125|297.65075|296.987125|297.193375|296.158125,0|0|0|66.4101875|0|0|0,0
297.045125|297.210125|297.65075|296.987125|297.193375|296.158125|295.49525,0|0|66.4101875|0|0|0|0,0
297.210125|297.65075|296.987125|297.193375|296.158125|295.49525|294.68425,0|66.4101875|0|0|0|0|0,0
297.65075|296.987125|297.193375|296.158125|295.49525|294.68425|294.67425,66.4101875|0|0|0|0|0|0,0
296.987125|297.193375|296.158125|295.49525|294.68425|294.67425|294.59775,0|0|0|0|0|0|0,0
297.193375|296.158125|295.49525|294.68425|294.67425|294.59775|293.86075,0|0|0|0|0|0|0,0
