Near Surface Air Temperature,Precipitation,Alert
300.884125|301.41625|301.884875|300.939125|300.005875|299.22425|298.9725,91.498125|0|0|0|72743.77324|478.1175708|1507.748542,0
301.41625|301.884875|300.939125|300.005875|299.22425|298.9725|301.1815,0|0|0|72743.77324|478.1175708|1507.748542|0,0
301.884875|300.939125|300.005875|299.22425|298.9725|301.1815|302.03,0|0|72743.77324|478.1175708|1507.748542|0|0,0
300.939125|300.005875|299.22425|298.9725|301.1815|302.03|301.482625,0|72743.77324|478.1175708|1507.748542|0|0|0,0
300.005875|299.22425|298.9725|301.1815|302.03|301.482625|301.929875,72743.77324|478.1175708|1507.748542|0|0|0|0,0
299.22425|298.9725|301.1815|302.03|301.482625|301.929875|301.64275,478.1175708|1507.748542|0|0|0|0|0,0
298.9725|301.1815|302.03|301.482625|301.929875|301.64275|301.129625,1507.748542|0|0|0|0|0|1109.879565,0
301.1815|302.03|301.482625|301.929875|301.64275|301.129625|300.636,0|0|0|0|0|1109.879565|5522248.514,0
302.03|301.482625|301.929875|301.64275|301.129625|300.636|300.02075,0|0|0|0|1109.879565|5522248.514|2.352939583,0
301.482625|301.929875|301.64275|301.129625|300.636|300.02075|301.524125,0|0|0|1109.879565|5522248.514|2.352939583|0,0
301.929875|301.64275|301.129625|300.636|300.02075|301.524125|301.98775,0|0|1109.879565|5522248.514|2.352939583|0|0,0
301.64275|301.129625|300.636|300.02075|301.524125|301.98775|301.839875,0|1109.879565|5522248.514|2.352939583|0|0|0,0
301.129625|300.636|300.02075|301.524125|301.98775|301.839875|301.97175,1109.879565|5522248.514|2.352939583|0|0|0|0,0
300.636|300.02075|301.524125|301.98775|301.839875|301.97175|301.16175,5522248.514|2.352939583|0|0|0|0|0,0
300.02075|301.524125|301.98775|301.839875|301.97175|301.16175|300.316,2.352939583|0|0|0|0|0|20.92453708,0
301.524125|301.98775|301.839875|301.97175|301.16175|300.316|300.8235,0|0|0|0|0|20.92453708|32.510025,0
301.98775|301.839875|301.97175|301.16175|300.316|300.8235|302.279625,0|0|0|0|20.92453708|32.510025|0,0
301.839875|301.97175|301.16175|300.316|300.8235|302.279625|302.431375,0|0|0|20.92453708|32.510025|0|0,0
301.97175|301.16175|300.316|300.8235|302.279625|302.431375|301.209125,0|0|20.92453708|32.510025|0|0|0,0
301.16175|300.316|300.8235|302.279625|302.431375|301.209125|301.33225,0|20.92453708|32.510025|0|0|0|0,0
300.316|300.8235|302.279625|302.431375|301.209125|301.33225|301.056375,20.92453708|32.510025|0|0|0|0|4079.643859,0
300.8235|302.279625|302.431375|301.209125|301.33225|301.056375|301.50025,32.510025|0|0|0|0|4079.643859|5630.639342,0
302.279625|302.431375|301.209125|301.33225|301.056375|301.50025|302.315125,0|0|0|0|4079.643859|5630.639342|0,0
302.431375|301.209125|301.33225|301.056375|301.50025|302.315125|303.71175,0|0|0|4079.643859|5630.639342|0|0,0
301.209125|301.33225|301.056375|301.50025|302.315125|303.71175|304.028625,0|0|4079.643859|5630.639342|0|0|0,0
301.33225|301.056375|301.50025|302.315125|303.71175|304.028625|302.55975,0|4079.643859|5630.639342|0|0|0|0,0
301.056375|301.50025|302.315125|303.71175|304.028625|302.55975|301.311,4079.643859|5630.639342|0|0|0|0|0,0
301.50025|302.315125|303.71175|304.028625|302.55975|301.311|300.222875,5630.639342|0|0|0|0|0|0,0
302.315125|303.71175|304.028625|302.55975|301.311|300.222875|299.606125,0|0|0|0|0|0|0,0
303.71175|304.028625|302.55975|301.311|300.222875|299.606125|300.260625,0|0|0|0|0|0|0,0
304.028625|302.55975|301.311|300.222875|299.606125|300.260625|301.278625,0|0|0|0|0|0|0,0
302.55975|301.311|300.222875|299.606125|300.260625|301.278625|300.749625,0|0|0|0|0|0|0,0
301.311|300.222875|299.606125|300.260625|301.278625|300.749625|300.854625,0|0|0|0|0|0|0,0
300.222875|299.606125|300.260625|301.278625|300.749625|300.854625|300.132125,0|0|0|0|0|0|0,0
299.606125|300.260625|301.278625|300.749625|300.854625|300.132125|299.423625,0|0|0|0|0|0|0,0
300.260625|301.278625|300.749625|300.854625|300.132125|299.423625|298.884,0|0|0|0|0|0|0,0
301.278625|300.749625|300.854625|300.132125|299.423625|298.884|299.0095,0|0|0|0|0|0|0,0
300.749625|300.854625|300.132125|299.423625|298.884|299.0095|297.91075,0|0|0|0|0|0|0,0
300.854625|300.132125|299.423625|298.884|299.0095|297.91075|297.60675,0|0|0|0|0|0|0,0
300.132125|299.423625|298.884|299.0095|297.91075|297.60675|298.43375,0|0|0|0|0|0|0,0
299.423625|298.884|299.0095|297.91075|297.60675|298.43375|298.317875,0|0|0|0|0|0|0,0
298.884|299.0095|297.91075|297.60675|298.43375|298.317875|298.9585,0|0|0|0|0|0|0,0
299.0095|297.91075|297.60675|298.43375|298.317875|298.9585|298.002625,0|0|0|0|0|0|0,0
297.91075|297.60675|298.43375|298.317875|298.9585|298.002625|298.01625,0|0|0|0|0|0|0,0
297.60675|298.43375|298.317875|298.9585|298.002625|298.01625|298.139,0|0|0|0|0|0|0,0
298.43375|298.317875|298.9585|298.002625|298.01625|298.139|297.1955,0|0|0|0|0|0|0,0
298.317875|298.9585|298.002625|298.01625|298.139|297.1955|297.211,0|0|0|0|0|0|0,0
298.9585|298.002625|298.01625|298.139|297.1955|297.211|295.8965,0|0|0|0|0|0|0,0
298.002625|298.01625|298.139|297.1955|297.211|295.8965|296.332875,0|0|0|0|0|0|0,0
298.01625|298.139|297.1955|297.211|295.8965|296.332875|296.98725,0|0|0|0|0|0|460.5722252,0
298.139|297.1955|297.211|295.8965|296.332875|296.98725|296.69975,0|0|0|0|0|460.5722252|0,0
297.1955|297.211|295.8965|296.332875|296.98725|296.69975|297.186625,0|0|0|0|460.5722252|0|0,1
297.211|295.8965|296.332875|296.98725|296.69975|297.186625|297.808875,0|0|0|460.5722252|0|0|0,0
295.8965|296.332875|296.98725|296.69975|297.186625|297.808875|295.813375,0|0|460.5722252|0|0|0|0,1
296.332875|296.98725|296.69975|297.186625|297.808875|295.813375|294.227375,0|460.5722252|0|0|0|0|0,0
296.98725|296.69975|297.186625|297.808875|295.813375|294.227375|294.190875,460.5722252|0|0|0|0|0|0,0
296.69975|297.186625|297.808875|295.813375|294.227375|294.190875|295.1915,0|0|0|0|0|0|0,0
297.186625|297.808875|295.813375|294.227375|294.190875|295.1915|296.57425,0|0|0|0|0|0|0,0
297.808875|295.813375|294.227375|294.190875|295.1915|296.57425|295.845875,0|0|0|0|0|0|0,0
295.813375|294.227375|294.190875|295.1915|296.57425|295.845875|298.197,0|0|0|0|0|0|0,0
294.227375|294.190875|295.1915|296.57425|295.845875|298.197|299.630125,0|0|0|0|0|0|0,0
294.190875|295.1915|296.57425|295.845875|298.197|299.630125|299.14275,0|0|0|0|0|0|0,0
295.1915|296.57425|295.845875|298.197|299.630125|299.14275|299.112125,0|0|0|0|0|0|0,0
296.57425|295.845875|298.197|299.630125|299.14275|299.112125|299.280125,0|0|0|0|0|0|0,0
295.845875|298.197|299.630125|299.14275|299.112125|299.280125|298.253,0|0|0|0|0|0|0,0
298.197|299.630125|299.14275|299.112125|299.280125|298.253|297.051625,0|0|0|0|0|0|0,0
299.630125|299.14275|299.112125|299.280125|298.253|297.051625|296.02775,0|0|0|0|0|0|0,0
299.14275|299.112125|299.280125|298.253|297.051625|296.02775|294.515,0|0|0|0|0|0|0,0
299.112125|299.280125|298.253|297.051625|296.02775|294.515|294.42325,0|0|0|0|0|0|0,0
299.280125|298.253|297.051625|296.02775|294.515|294.42325|294.352625,0|0|0|0|0|0|0,0
298.253|297.051625|296.02775|294.515|294.42325|294.352625|294.9065,0|0|0|0|0|0|0,0
